"date"	"ticker"	"name"	"volume"
"2025-01-22 08:18:44"	"CIRC.MI"	"CIRCLE"	660
"2025-01-22 13:42:54"	"CULT.MI"	"CULTI MILANO"	625
"2025-01-22 11:08:58"	"HI.MI"	"HEALTH ITALIA"	501
"2025-01-22 14:53:21"	"AIM.MI"	"4AIM SICAF"	476
"2025-01-22 14:29:50"	"FIC.MI"	"FIRST CAPITAL"	433
"2025-01-22 15:21:33"	"TCM.MI"	"TECMA SOLUTIONS"	400
"2025-01-22 15:04:27"	"IB.MI"	"INIZIATIVE BRESCIANE"	380
"2025-01-22 14:42:57"	"ALK.MI"	"ALKEMY"	308
"2025-01-22 16:11:53"	"CFM.MI"	"CROWDFUNDME"	300
"2025-01-22 16:26:39"	"ENV.MI"	"ENERVIT"	275
"2025-01-22 13:56:23"	"AUTME.MI"	"AUTOSTRADE MERID"	200
"2025-01-22 15:30:01"	"DHH.MI"	"DHH"	169
"2025-01-22 15:52:06"	"TLS.MI"	"TELESIA"	150
"2025-01-22 14:59:56"	"ECK.MI"	"ECOSUNTEK"	140
"2025-01-22 11:57:49"	"ICF.MI"	"INDUSTRIE CHIMICHE FORESTALI"	58
"2025-01-22 16:35:22"	"COM.MI"	"COMER INDUSTRIES"	12
